브랜드,SKU ID,SKU 명,등록가,pid,iid,vid,url,플래그,메모
건우코리아,57681302,GUNU 흔들림 넘어짐 방지 가구 고정장치 투명 8개,,,,,https://www.coupang.com/vp/products/8653449437?itemId=25121830893&vendorItemId=92121163804,5000원▽ 모니터링,
건우코리아,57697789,GUNU 여닫이문 서랍 손끼임 방지 잠금장치 화이트 12개,,,,,https://www.coupang.com/vp/products/8653609107?itemId=25122379802&vendorItemId=92121691567,5000원▽ 모니터링,
윰,10339678,윰스 대형다이아몬드반지 파티장식 호일풍선 골드 3개,,,,,https://www.coupang.com/vp/products/227449397?itemId=720523489&vendorItemId=4823115583,1개 번들 중단,
윰,10339760,윰스 크라운 스탠드 DIY숫자풍선 32in숫자0 1개,,,,,https://www.coupang.com/vp/products/227449547?itemId=720523946&vendorItemId=4823117199,1개 번들 중단,
윰,10339761,윰스 크라운 스탠드 DIY숫자풍선 32in숫자1 1개,,,,,https://www.coupang.com/vp/products/227449547?itemId=720523957&vendorItemId=4823117225,1개 번들 중단,
윰,10339762,윰스 크라운 스탠드 DIY숫자풍선 32in숫자2 1개,,,,,https://www.coupang.com/vp/products/227449547?itemId=720523961&vendorItemId=4823117269,1개 번들 중단,
윰,10339763,윰스 크라운 스탠드 DIY숫자풍선 32in숫자3 1개,,,,,https://www.coupang.com/vp/products/227449547?itemId=720523976&vendorItemId=4823117287,1개 번들 중단,
윰,10339764,윰스 크라운 스탠드 DIY숫자풍선 32in숫자4 1개,,,,,https://www.coupang.com/vp/products/227449547?itemId=720523988&vendorItemId=4823117329,1개 번들 중단,
윰,10339765,윰스 크라운 스탠드 DIY숫자풍선 32in숫자5 1개,,,,,https://www.coupang.com/vp/products/227449547?itemId=720524002&vendorItemId=4823117363,1개 번들 중단,
윰,10339766,윰스 크라운 스탠드 DIY숫자풍선 32in숫자6 1개,,,,,https://www.coupang.com/vp/products/227449547?itemId=720524026&vendorItemId=4823117391,1개 번들 중단,
윰,10339767,윰스 크라운 스탠드 DIY숫자풍선 32in숫자7 1개,,,,,https://www.coupang.com/vp/products/227449547?itemId=720524044&vendorItemId=4823117419,1개 번들 중단,
윰,10339768,윰스 크라운 스탠드 DIY숫자풍선 32in숫자8 1개,,,,,https://www.coupang.com/vp/products/227449547?itemId=720524048&vendorItemId=4823117455,1개 번들 중단,
윰,10339769,윰스 크라운 스탠드 DIY숫자풍선 32in숫자9 1개,,,,,https://www.coupang.com/vp/products/227449547?itemId=720524068&vendorItemId=4823117501,1개 번들 중단,
