브랜드,SKU ID,SKU 명,등록가,pid,iid,vid,url,플래그,메모
건우코리아,69118113,GUNU 감성 인테리어 레이스 협탁 테이블보 타입C 1개,6680,,,94608331807,https://www.coupang.com/vp/products/9326216815?itemId=27645775042&vendorItemId=94608331807,건우-26신규,
건우코리아,69118114,GUNU 감성 홈카페 식탁 테이블보 그린 1개,7570,,,94608332037,https://www.coupang.com/vp/products/9326216889?itemId=27645775495&vendorItemId=94608332037,건우-26신규,
건우코리아,69118115,GUNU 감성 홈카페 식탁 테이블보 그레이 1개,7570,,,94608332040,https://www.coupang.com/vp/products/9326216889?itemId=27645775497&vendorItemId=94608332040,건우-26신규,
건우코리아,69118118,GUNU 감성 홈카페 식탁 테이블보 아이보리 1개,7570,,,94608332060,https://www.coupang.com/vp/products/9326216889?itemId=27645775499&vendorItemId=94608332060,건우-26신규,
건우코리아,69118119,GUNU 감성 홈카페 식탁 테이블보 스카이 1개,7570,,,94608332063,https://www.coupang.com/vp/products/9326216889?itemId=27645775501&vendorItemId=94608332063,건우-26신규,
건우코리아,69118121,GUNU 감성 홈카페 식탁 테이블보 연그레이 1개,7570,,,94608332048,https://www.coupang.com/vp/products/9326216889?itemId=27645775502&vendorItemId=94608332048,건우-26신규,
건우코리아,69118128,GUNU 감성 홈카페 식탁 테이블보 블루체크 1개,7570,,,94608332043,https://www.coupang.com/vp/products/9326216889?itemId=27645775507&vendorItemId=94608332043,건우-26신규,
건우코리아,69118129,GUNU 감성 홈카페 식탁 테이블보 블랙체크 1개,7570,,,94608332049,https://www.coupang.com/vp/products/9326216889?itemId=27645775510&vendorItemId=94608332049,건우-26신규,
건우코리아,69118130,GUNU 감성 홈카페 식탁 테이블보 레드체크 1개,7570,,,94608332066,https://www.coupang.com/vp/products/9326216889?itemId=27645775512&vendorItemId=94608332066,건우-26신규,
건우코리아,69118133,GUNU 감성 홈카페 식탁 테이블보 그린체크 1개,7570,,,94608332052,https://www.coupang.com/vp/products/9326216889?itemId=27645775514&vendorItemId=94608332052,건우-26신규,
건우코리아,69118134,GUNU 감성 홈카페 패브릭 식탁 테이블보 화이트 1개,7570,,,94608331930,https://www.coupang.com/vp/products/9326216865?itemId=27645775383&vendorItemId=94608331930,건우-26신규,
건우코리아,69118136,GUNU 감성 홈카페 패브릭 식탁 테이블보 아이보리 1개,7570,,,94608331924,https://www.coupang.com/vp/products/9326216865?itemId=27645775386&vendorItemId=94608331924,건우-26신규,
건우코리아,69118137,GUNU 감성 홈카페 패브릭 식탁 테이블보 그레이 1개,7570,,,94608331931,https://www.coupang.com/vp/products/9326216865?itemId=27645775390&vendorItemId=94608331931,건우-26신규,
건우코리아,69118138,GUNU 감성 홈카페 패브릭 식탁 테이블보 그린 1개,7570,,,94608331927,https://www.coupang.com/vp/products/9326216865?itemId=27645775393&vendorItemId=94608331927,건우-26신규,
건우코리아,69118140,GUNU 감성 홈카페 패브릭 식탁 테이블보 옐로우 1개,7570,,,94608331928,https://www.coupang.com/vp/products/9326216865?itemId=27645775395&vendorItemId=94608331928,건우-26신규,
건우코리아,69118142,GUNU 감성 홈카페 패브릭 식탁 테이블보 핑크 1개,7570,,,94608331932,https://www.coupang.com/vp/products/9326216865?itemId=27645775399&vendorItemId=94608331932,건우-26신규,
건우코리아,69118143,GUNU 감성 홈카페 패브릭 식탁 테이블보 블루 1개,7570,,,94608331929,https://www.coupang.com/vp/products/9326216865?itemId=27645775403&vendorItemId=94608331929,건우-26신규,
건우코리아,69118146,GUNU 미끄럼방지 워셔블 스판 원형 테이블보 화이트 60cm 1개,10600,,,94608331900,https://www.coupang.com/vp/products/9326216851?itemId=27645775299&vendorItemId=94608331900,건우-26신규,
건우코리아,69118147,GUNU 미끄럼방지 워셔블 스판 원형 테이블보 화이트 80cm 1개,17730,,,94608331899,https://www.coupang.com/vp/products/9326216851?itemId=27645775306&vendorItemId=94608331899,건우-26신규,
